x,y,z,t
-0.129365,0.112685,0.0345025,1.31
-0.130837,0.111617,0.0344912,1.32
-0.132298,0.110531,0.0344801,1.33
-0.133748,0.10943,0.0344691,1.34
-0.135187,0.108311,0.0344583,1.35
-0.136614,0.107176,0.0344476,1.36
-0.138031,0.106024,0.034437,1.37
-0.139435,0.104856,0.0344266,1.38
-0.140828,0.103671,0.0344162,1.39
-0.142209,0.10247,0.034406,1.4
-0.143578,0.101253,0.034396,1.41
-0.144934,0.10002,0.034386,1.42
-0.146278,0.0987704,0.0343762,1.43
-0.14761,0.0975051,0.0343664,1.44
-0.148928,0.096224,0.0343568,1.45
-0.150234,0.0949272,0.0343473,1.46
-0.151527,0.0936147,0.0343379,1.47
-0.152807,0.0922867,0.0343286,1.48
-0.154073,0.0909432,0.0343194,1.49
-0.155325,0.0895843,0.0343104,1.5
-0.156564,0.0882102,0.0343014,1.51
-0.157789,0.086821,0.0342925,1.52
-0.159,0.0854168,0.0342837,1.53
-0.160197,0.0839976,0.034275,1.54
-0.16138,0.0825636,0.0342664,1.55
-0.162549,0.0811149,0.034258,1.56
-0.163702,0.0796517,0.0342496,1.57
-0.164841,0.078174,0.0342413,1.58
-0.165965,0.0766819,0.0342331,1.59
-0.167075,0.0751756,0.034225,1.6
-0.168169,0.0736552,0.034217,1.61
-0.169247,0.0721209,0.0342091,1.62
-0.170311,0.0705726,0.0342012,1.63
-0.171358,0.0690107,0.0341935,1.64
-0.17239,0.0674351,0.0341859,1.65
-0.173407,0.0658461,0.0341784,1.66
-0.174407,0.0642437,0.0341709,1.67
-0.175391,0.0626281,0.0341636,1.68
-0.176359,0.0609995,0.0341564,1.69
-0.17731,0.0593579,0.0341492,1.7
-0.178246,0.0577035,0.0341422,1.71
-0.179164,0.0560364,0.0341352,1.72
-0.180066,0.0543569,0.0341283,1.73
-0.180951,0.0526649,0.0341216,1.74
-0.181818,0.0509607,0.0341149,1.75
-0.182669,0.0492445,0.0341083,1.76
-0.183503,0.0475163,0.0341018,1.77
-0.184319,0.0457763,0.0340955,1.78
-0.185118,0.0440246,0.0340892,1.79
-0.185899,0.0422615,0.034083,1.8
-0.186662,0.0404871,0.0340769,1.81
-0.187408,0.0387014,0.0340709,1.82
-0.188136,0.0369047,0.034065,1.83
-0.188845,0.0350972,0.0340592,1.84
-0.189537,0.0332789,0.0340535,1.85
-0.19021,0.0314501,0.0340479,1.86
