x,y,z,t
0.106798,0.262907,0.0360653,6.52
0.103808,0.264501,0.0360481,6.53
0.100803,0.266068,0.0360307,6.54
0.0977818,0.267608,0.0360133,6.55
0.0947456,0.269121,0.0359958,6.56
0.0916944,0.270607,0.0359781,6.57
0.0886286,0.272065,0.0359603,6.58
0.0855483,0.273496,0.0359425,6.59
0.0824539,0.274898,0.0359245,6.6
0.0793457,0.276272,0.0359064,6.61
0.0762239,0.277618,0.0358883,6.62
0.0730888,0.278936,0.03587,6.63
0.0699408,0.280225,0.0358516,6.64
0.06678,0.281485,0.0358331,6.65
0.0636068,0.282715,0.0358146,6.66
0.0604215,0.283917,0.0357959,6.67
0.0572244,0.285089,0.0357772,6.68
0.0540158,0.286231,0.0357584,6.69
0.0507959,0.287344,0.0357395,6.7
0.047565,0.288427,0.0357205,6.71
0.0443236,0.289479,0.0357014,6.72
0.0410718,0.290501,0.0356822,6.73
0.0378099,0.291493,0.035663,6.74
0.0345384,0.292454,0.0356437,6.75
0.0312574,0.293384,0.0356243,6.76
0.0279673,0.294284,0.0356049,6.77
0.0246684,0.295152,0.0355853,6.78
0.021361,0.295989,0.0355658,6.79
0.0180455,0.296794,0.0355461,6.8
0.0147221,0.297569,0.0355264,6.81
0.0113911,0.298311,0.0355066,6.82
0.00805297,0.299021,0.0354868,6.83
0.00470789,0.2997,0.0354669,6.84
0.00135622,0.300346,0.035447,6.85
-0.00200172,0.300961,0.035427,6.86
-0.00536559,0.301543,0.0354069,6.87
-0.00873509,0.302092,0.0353868,6.88
-0.0121099,0.302609,0.0353667,6.89
-0.0154896,0.303093,0.0353465,6.9
-0.018874,0.303544,0.0353263,6.91
-0.0222627,0.303963,0.035306,6.92
-0.0256554,0.304348,0.0352857,6.93
-0.0290518,0.3047,0.0352654,6.94
-0.0324514,0.305019,0.035245,6.95
-0.035854,0.305304,0.0352246,6.96
-0.0392593,0.305557,0.0352042,6.97
-0.0426669,0.305775,0.0351837,6.98
-0.0460765,0.30596,0.0351632,6.99
-0.0494878,0.306111,0.0351427,7
-0.0529003,0.306228,0.0351222,7.01
-0.0563138,0.306312,0.0351016,7.02
-0.0597279,0.306361,0.0350811,7.03
-0.0631424,0.306377,0.0350605,7.04
-0.0665567,0.306358,0.0350399,7.05
-0.0699707,0.306305,0.0350193,7.06
-0.073384,0.306218,0.0349987,7.07
-0.0767961,0.306097,0.0349781,7.08
-0.0802069,0.305941,0.0349575,7.09
-0.0836159,0.305751,0.0349369,7.1
-0.0870228,0.305526,0.0349163,7.11
-0.0904272,0.305267,0.0348957,7.12
-0.0938288,0.304973,0.034875,7.13
-0.0972273,0.304645,0.0348544,7.14
-0.100622,0.304282,0.0348339,7.15
-0.104013,0.303884,0.0348133,7.16
-0.1074,0.303452,0.0347927,7.17
-0.110783,0.302985,0.0347722,7.18
-0.11416,0.302483,0.0347516,7.19
-0.117533,0.301946,0.0347311,7.2
-0.1209,0.301375,0.0347106,7.21
-0.12426,0.300769,0.0346901,7.22
-0.127615,0.300128,0.0346697,7.23
-0.130963,0.299452,0.0346493,7.24
-0.134304,0.298741,0.0346289,7.25
-0.137638,0.297995,0.0346085,7.26
-0.140964,0.297215,0.0345882,7.27
-0.144282,0.2964,0.0345679,7.28
-0.147591,0.29555,0.0345477,7.29
-0.150892,0.294665,0.0345275,7.3
-0.154184,0.293745,0.0345073,7.31
-0.157467,0.292791,0.0344872,7.32
-0.16074,0.291802,0.0344671,7.33
-0.164002,0.290778,0.0344471,7.34
-0.167255,0.28972,0.0344271,7.35
-0.170496,0.288627,0.0344072,7.36
-0.173726,0.287499,0.0343873,7.37
-0.176945,0.286337,0.0343675,7.38
-0.180152,0.28514,0.0343477,7.39
-0.183347,0.283909,0.034328,7.4
-0.18653,0.282643,0.0343084,7.41
-0.189699,0.281343,0.0342888,7.42
-0.192855,0.280009,0.0342693,7.43
-0.195998,0.27864,0.0342499,7.44
-0.199127,0.277237,0.0342305,7.45
-0.202242,0.275801,0.0342112,7.46
-0.205342,0.27433,0.034192,7.47
-0.208427,0.272825,0.0341728,7.48
-0.211497,0.271286,0.0341537,7.49
-0.214551,0.269714,0.0341347,7.5
-0.21759,0.268108,0.0341158,7.51
-0.220612,0.266468,0.034097,7.52
-0.223618,0.264795,0.0340782,7.53
-0.226607,0.263088,0.0340596,7.54
-0.229578,0.261349,0.034041,7.55
-0.232532,0.259575,0.0340225,7.56
-0.235468,0.257769,0.0340041,7.57
-0.238386,0.25593,0.0339858,7.58
-0.241285,0.254058,0.0339676,7.59
-0.244165,0.252153,0.0339495,7.6
-0.247026,0.250216,0.0339315,7.61
-0.249868,0.248246,0.0339136,7.62
-0.252689,0.246244,0.0338958,7.63
-0.255491,0.24421,0.033878,7.64
-0.258271,0.242143,0.0338604,7.65
-0.261031,0.240045,0.0338429,7.66
-0.26377,0.237915,0.0338256,7.67
-0.266488,0.235753,0.0338083,7.68
-0.269183,0.233559,0.0337911,7.69
-0.271857,0.231335,0.0337741,7.7
-0.274508,0.229079,0.0337571,7.71
-0.277136,0.226792,0.0337403,7.72
-0.279742,0.224474,0.0337236,7.73
-0.282324,0.222126,0.033707,7.74
-0.284882,0.219747,0.0336905,7.75
-0.287416,0.217337,0.0336742,7.76
-0.289926,0.214898,0.033658,7.77
-0.292412,0.212428,0.0336419,7.78
-0.294873,0.209929,0.0336259,7.79
-0.297308,0.2074,0.0336101,7.8
-0.299718,0.204842,0.0335944,7.81
-0.302103,0.202254,0.0335788,7.82
-0.304461,0.199638,0.0335634,7.83
-0.306793,0.196992,0.0335481,7.84
-0.309098,0.194319,0.0335329,7.85
-0.311377,0.191616,0.0335179,7.86
-0.313628,0.188886,0.033503,7.87
-0.315852,0.186127,0.0334883,7.88
-0.318048,0.183341,0.0334737,7.89
-0.320216,0.180527,0.0334592,7.9
-0.322356,0.177686,0.0334449,7.91
-0.324468,0.174818,0.0334307,7.92
-0.32655,0.171923,0.0334167,7.93
-0.328604,0.169001,0.0334028,7.94
-0.330628,0.166053,0.0333891,7.95
-0.332622,0.163079,0.0333755,7.96
-0.334587,0.160079,0.0333621,7.97
-0.336521,0.157053,0.0333488,7.98
-0.338425,0.154002,0.0333357,7.99
-0.340298,0.150926,0.0333228,8
-0.342141,0.147825,0.03331,8.01
-0.343952,0.144699,0.0332973,8.02
-0.345732,0.141549,0.0332849,8.03
-0.34748,0.138375,0.0332726,8.04
-0.349197,0.135176,0.0332604,8.05
-0.350881,0.131955,0.0332484,8.06
-0.352533,0.12871,0.0332366,8.07
-0.354153,0.125442,0.0332249,8.08
-0.355739,0.122151,0.0332135,8.09
-0.357293,0.118838,0.0332021,8.1
-0.358814,0.115503,0.033191,8.11
-0.3603,0.112146,0.03318,8.12
-0.361754,0.108767,0.0331692,8.13
-0.363173,0.105367,0.0331586,8.14
-0.364558,0.101946,0.0331481,8.15
-0.365909,0.0985045,0.0331378,8.16
-0.367226,0.0950424,0.0331277,8.17
-0.368507,0.0915602,0.0331178,8.18
-0.369754,0.0880583,0.033108,8.19
-0.370966,0.0845369,0.0330984,8.2
-0.372142,0.0809963,0.033089,8.21
-0.373283,0.0774369,0.0330798,8.22
-0.374388,0.0738589,0.0330708,8.23
-0.375458,0.0702627,0.033062,8.24
-0.376491,0.0666487,0.0330533,8.25
-0.377488,0.0630171,0.0330448,8.26
-0.378448,0.0593682,0.0330365,8.27
-0.379372,0.0557025,0.0330284,8.28
-0.38026,0.0520202,0.0330205,8.29
-0.38111,0.0483216,0.0330128,8.3
-0.381924,0.0446071,0.0330052,8.31
-0.3827,0.0408771,0.0329979,8.32
-0.383438,0.0371319,0.0329907,8.33
-0.38414,0.0333718,0.0329837,8.34
-0.384803,0.0295971,0.032977,8.35
-0.385429,0.0258083,0.0329704,8.36
-0.386017,0.0220056,0.032964,8.37
-0.386566,0.0181894,0.0329578,8.38
-0.387078,0.0143602,0.0329518,8.39
-0.387551,0.0105181,0.032946,8.4
-0.387986,0.00666363,0.0329404,8.41
-0.388382,0.0027971,0.032935,8.42
-0.388739,-0.00108112,0.0329298,8.43
-0.389057,-0.00497068,0.0329248,8.44
-0.389337,-0.00887119,0.03292,8.45
-0.389578,-0.0127823,0.0329154,8.46
-0.389779,-0.0167036,0.0329109,8.47
-0.389941,-0.0206348,0.0329067,8.48
-0.390064,-0.0245755,0.0329027,8.49
-0.390147,-0.0285253,0.0328989,8.5
-0.390191,-0.0324838,0.0328953,8.51
-0.390195,-0.0364507,0.032892,8.52
-0.390159,-0.0404255,0.0328888,8.53
-0.390084,-0.044408,0.0328858,8.54
-0.389969,-0.0483976,0.032883,8.55
-0.389813,-0.0523941,0.0328805,8.56
-0.389618,-0.056397,0.0328781,8.57
-0.389383,-0.060406,0.0328759,8.58
-0.389108,-0.0644207,0.032874,8.59
-0.388792,-0.0684406,0.0328723,8.6
-0.388437,-0.0724654,0.0328707,8.61
-0.388041,-0.0764947,0.0328694,8.62
-0.387604,-0.0805281,0.0328683,8.63
-0.387128,-0.0845652,0.0328674,8.64
-0.386611,-0.0886056,0.0328668,8.65
-0.386053,-0.0926489,0.0328663,8.66
-0.385456,-0.0966947,0.032866,8.67
-0.384817,-0.100743,0.032866,8.68
-0.384139,-0.104792,0.0328661,8.69
-0.383419,-0.108843,0.0328665,8.7
-0.38266,-0.112895,0.0328671,8.71
-0.381859,-0.116948,0.0328679,8.72
-0.381018,-0.121,0.0328689,8.73
-0.380137,-0.125052,0.0328702,8.74
-0.379215,-0.129104,0.0328716,8.75
-0.378253,-0.133154,0.0328733,8.76
-0.37725,-0.137203,0.0328752,8.77
-0.376207,-0.14125,0.0328773,8.78
-0.375123,-0.145294,0.0328796,8.79
-0.373999,-0.149336,0.0328821,8.8
-0.372835,-0.153375,0.0328848,8.81
-0.37163,-0.15741,0.0328878,8.82
-0.370384,-0.161441,0.032891,8.83
-0.369099,-0.165468,0.0328944,8.84
-0.367773,-0.16949,0.032898,8.85
-0.366407,-0.173506,0.0329018,8.86
-0.365001,-0.177518,0.0329058,8.87
-0.363555,-0.181523,0.0329101,8.88
-0.362069,-0.185521,0.0329146,8.89
-0.360543,-0.189513,0.0329193,8.9
-0.358977,-0.193497,0.0329242,8.91
-0.357371,-0.197474,0.0329293,8.92
-0.355726,-0.201443,0.0329347,8.93
-0.354041,-0.205403,0.0329402,8.94
-0.352316,-0.209354,0.032946,8.95
-0.350552,-0.213296,0.032952,8.96
-0.348749,-0.217228,0.0329582,8.97
-0.346906,-0.22115,0.0329647,8.98
-0.345024,-0.225061,0.0329713,8.99
-0.343103,-0.228962,0.0329782,9
-0.341143,-0.232851,0.0329853,9.01
-0.339145,-0.236728,0.0329926,9.02
-0.337107,-0.240593,0.0330001,9.03
-0.335031,-0.244445,0.0330079,9.04
-0.332917,-0.248284,0.0330159,9.05
-0.330764,-0.25211,0.033024,9.06
-0.328573,-0.255922,0.0330324,9.07
-0.326345,-0.259719,0.033041,9.08
-0.324078,-0.263502,0.0330499,9.09
-0.321773,-0.26727,0.0330589,9.1
-0.319431,-0.271022,0.0330682,9.11
-0.317052,-0.274759,0.0330777,9.12
-0.314635,-0.278479,0.0330874,9.13
-0.312181,-0.282182,0.0330973,9.14
-0.30969,-0.285868,0.0331074,9.15
-0.307162,-0.289537,0.0331178,9.16
-0.304598,-0.293188,0.0331283,9.17
-0.301998,-0.29682,0.0331391,9.18
-0.299361,-0.300434,0.0331501,9.19
-0.296688,-0.304028,0.0331613,9.2
-0.293979,-0.307603,0.0331727,9.21
-0.291235,-0.311158,0.0331844,9.22
-0.288455,-0.314693,0.0331962,9.23
-0.28564,-0.318207,0.0332083,9.24
-0.28279,-0.321699,0.0332205,9.25
-0.279906,-0.325171,0.033233,9.26
-0.276986,-0.32862,0.0332457,9.27
-0.274032,-0.332047,0.0332586,9.28
-0.271045,-0.335452,0.0332717,9.29
-0.268023,-0.338833,0.0332851,9.3
-0.264967,-0.342191,0.0332986,9.31
-0.261878,-0.345525,0.0333124,9.32
-0.258756,-0.348835,0.0333263,9.33
-0.255601,-0.35212,0.0333405,9.34
-0.252413,-0.35538,0.0333549,9.35
-0.249193,-0.358615,0.0333694,9.36
-0.245941,-0.361824,0.0333842,9.37
-0.242656,-0.365007,0.0333992,9.38
-0.23934,-0.368164,0.0334144,9.39
-0.235993,-0.371294,0.0334298,9.4
-0.232614,-0.374396,0.0334454,9.41
-0.229204,-0.377471,0.0334612,9.42
-0.225764,-0.380518,0.0334773,9.43
-0.222294,-0.383537,0.0334935,9.44
-0.218794,-0.386527,0.0335099,9.45
-0.215263,-0.389488,0.0335265,9.46
-0.211704,-0.392419,0.0335433,9.47
-0.208115,-0.395321,0.0335603,9.48
-0.204497,-0.398193,0.0335776,9.49
-0.200851,-0.401034,0.033595,9.5
-0.197177,-0.403845,0.0336126,9.51
-0.193475,-0.406624,0.0336304,9.52
-0.189745,-0.409372,0.0336484,9.53
-0.185987,-0.412089,0.0336666,9.54
-0.182203,-0.414773,0.033685,9.55
-0.178392,-0.417424,0.0337036,9.56
-0.174555,-0.420043,0.0337223,9.57
-0.170692,-0.422629,0.0337413,9.58
-0.166803,-0.425181,0.0337604,9.59
-0.162889,-0.427699,0.0337798,9.6
-0.15895,-0.430183,0.0337993,9.61
-0.154986,-0.432633,0.033819,9.62
-0.150998,-0.435048,0.0338389,9.63
-0.146985,-0.437429,0.033859,9.64
-0.14295,-0.439773,0.0338793,9.65
-0.138891,-0.442082,0.0338997,9.66
-0.134809,-0.444355,0.0339204,9.67
-0.130705,-0.446592,0.0339412,9.68
-0.126578,-0.448792,0.0339622,9.69
-0.12243,-0.450956,0.0339833,9.7
-0.11826,-0.453082,0.0340047,9.71
-0.114069,-0.455171,0.0340262,9.72
-0.109858,-0.457222,0.0340479,9.73
-0.105626,-0.459235,0.0340698,9.74
-0.101375,-0.46121,0.0340918,9.75
-0.0971033,-0.463146,0.034114,9.76
-0.092813,-0.465043,0.0341364,9.77
-0.0885039,-0.466901,0.0341589,9.78
-0.0841765,-0.46872,0.0341816,9.79
-0.0798311,-0.470499,0.0342045,9.8
-0.0754682,-0.472239,0.0342275,9.81
-0.0710881,-0.473938,0.0342507,9.82
-0.0666912,-0.475597,0.0342741,9.83
-0.062278,-0.477215,0.0342976,9.84
-0.0578488,-0.478792,0.0343213,9.85
-0.0534041,-0.480328,0.0343451,9.86
-0.0489443,-0.481823,0.0343691,9.87
-0.0444697,-0.483276,0.0343933,9.88
-0.0399809,-0.484687,0.0344175,9.89
-0.0354782,-0.486056,0.034442,9.9
-0.0309621,-0.487383,0.0344666,9.91
-0.0264329,-0.488667,0.0344913,9.92
-0.0218912,-0.489909,0.0345162,9.93
-0.0173372,-0.491108,0.0345412,9.94
-0.0127716,-0.492263,0.0345664,9.95
-0.0081946,-0.493376,0.0345917,9.96
-0.00360676,-0.494444,0.0346171,9.97
0.000991513,-0.495469,0.0346427,9.98
0.00559978,-0.49645,0.0346684,9.99
0.0102176,-0.497387,0.0346942,10
0.0148445,-0.49828,0.0347202,10.01
0.0194801,-0.499128,0.0347463,10.02
0.0241239,-0.499931,0.0347725,10.03
0.0287755,-0.50069,0.0347989,10.04
0.0334344,-0.501404,0.0348254,10.05
0.0381002,-0.502072,0.034852,10.06
0.0427724,-0.502695,0.0348787,10.07
0.0474506,-0.503273,0.0349055,10.08
0.0521343,-0.503805,0.0349325,10.09
0.056823,-0.504291,0.0349595,10.1
0.0615163,-0.504732,0.0349867,10.11
0.0662138,-0.505126,0.035014,10.12
0.0709149,-0.505474,0.0350414,10.13
0.0756192,-0.505776,0.0350689,10.14
0.0803263,-0.506031,0.0350965,10.15
0.0850356,-0.50624,0.0351241,10.16
0.0897468,-0.506402,0.0351519,10.17
0.0944593,-0.506517,0.0351798,10.18
0.0991726,-0.506586,0.0352078,10.19
0.103886,-0.506607,0.0352359,10.2
0.1086,-0.506582,0.035264,10.21
0.113313,-0.506509,0.0352923,10.22
0.118025,-0.506389,0.0353206,10.23
0.122736,-0.506221,0.035349,10.24
0.127445,-0.506006,0.0353775,10.25
0.132151,-0.505744,0.0354061,10.26
0.136855,-0.505434,0.0354347,10.27
0.141555,-0.505076,0.0354634,10.28
0.146251,-0.504671,0.0354922,10.29
0.150942,-0.504218,0.0355211,10.3
0.155629,-0.503717,0.03555,10.31
0.160311,-0.503168,0.035579,10.32
0.164987,-0.502571,0.035608,10.33
0.169657,-0.501926,0.0356371,10.34
0.174319,-0.501234,0.0356662,10.35
0.178975,-0.500493,0.0356954,10.36
0.183623,-0.499704,0.0357247,10.37
0.188263,-0.498867,0.035754,10.38
0.192894,-0.497982,0.0357833,10.39
0.197516,-0.497049,0.0358127,10.4
0.202128,-0.496068,0.0358421,10.41
0.206731,-0.495039,0.0358715,10.42
0.211322,-0.493962,0.035901,10.43
0.215903,-0.492837,0.0359305,10.44
0.220472,-0.491663,0.0359601,10.45
0.225029,-0.490442,0.0359896,10.46
0.229574,-0.489172,0.0360192,10.47
0.234105,-0.487855,0.0360488,10.48
0.238623,-0.48649,0.0360784,10.49
0.243127,-0.485076,0.036108,10.5
0.247617,-0.483615,0.0361377,10.51
0.252092,-0.482106,0.0361673,10.52
0.256551,-0.48055,0.0361969,10.53
0.260995,-0.478945,0.0362266,10.54
0.265422,-0.477293,0.0362562,10.55
0.269832,-0.475594,0.0362858,10.56
0.274225,-0.473846,0.0363155,10.57
0.278601,-0.472052,0.0363451,10.58
0.282958,-0.47021,0.0363747,10.59
0.287296,-0.468321,0.0364042,10.6
0.291615,-0.466385,0.0364338,10.61
0.295915,-0.464401,0.0364633,10.62
0.300194,-0.462371,0.0364928,10.63
0.304453,-0.460294,0.0365222,10.64
0.308691,-0.45817,0.0365517,10.65
0.312907,-0.455999,0.0365811,10.66
0.317101,-0.453782,0.0366104,10.67
0.321273,-0.451519,0.0366397,10.68
0.325421,-0.449209,0.0366689,10.69
0.329547,-0.446853,0.0366981,10.7
0.333648,-0.444451,0.0367273,10.71
0.337726,-0.442004,0.0367564,10.72
0.341778,-0.43951,0.0367854,10.73
0.345805,-0.436972,0.0368144,10.74
0.349807,-0.434388,0.0368432,10.75
0.353782,-0.431758,0.0368721,10.76
0.357731,-0.429084,0.0369008,10.77
0.361653,-0.426365,0.0369295,10.78
0.365547,-0.423601,0.036958,10.79
0.369414,-0.420793,0.0369865,10.8
0.373252,-0.41794,0.0370149,10.81
0.377061,-0.415044,0.0370432,10.82
0.380841,-0.412103,0.0370714,10.83
0.384591,-0.409119,0.0370996,10.84
0.388312,-0.406091,0.0371276,10.85
0.392001,-0.40302,0.0371555,10.86
0.39566,-0.399906,0.0371833,10.87
0.399287,-0.39675,0.0372109,10.88
0.402883,-0.39355,0.0372385,10.89
0.406446,-0.390308,0.0372659,10.9
0.409976,-0.387025,0.0372932,10.91
0.413473,-0.383699,0.0373204,10.92
0.416937,-0.380332,0.0373475,10.93
0.420367,-0.376923,0.0373744,10.94
0.423763,-0.373473,0.0374011,10.95
0.427123,-0.369982,0.0374278,10.96
0.430449,-0.366451,0.0374542,10.97
0.433739,-0.362879,0.0374806,10.98
0.436993,-0.359268,0.0375067,10.99
0.44021,-0.355616,0.0375328,11
0.443391,-0.351926,0.0375586,11.01
0.446535,-0.348195,0.0375843,11.02
0.449641,-0.344427,0.0376098,11.03
0.452709,-0.340619,0.0376352,11.04
0.455739,-0.336773,0.0376604,11.05
0.45873,-0.332889,0.0376853,11.06
0.461682,-0.328968,0.0377102,11.07
0.464595,-0.325009,0.0377348,11.08
0.467467,-0.321013,0.0377592,11.09
0.4703,-0.31698,0.0377834,11.1
0.473092,-0.312911,0.0378075,11.11
0.475843,-0.308806,0.0378313,11.12
0.478553,-0.304665,0.037855,11.13
0.481221,-0.300489,0.0378784,11.14
0.483847,-0.296278,0.0379016,11.15
0.486431,-0.292032,0.0379246,11.16
0.488972,-0.287752,0.0379474,11.17
0.49147,-0.283438,0.0379699,11.18
0.493925,-0.27909,0.0379922,11.19
0.496336,-0.274709,0.0380143,11.2
0.498702,-0.270295,0.0380362,11.21
0.501025,-0.265848,0.0380578,11.22
0.503303,-0.26137,0.0380792,11.23
0.505536,-0.256859,0.0381003,11.24
0.507723,-0.252318,0.0381212,11.25
0.509865,-0.247745,0.0381419,11.26
0.511961,-0.243142,0.0381623,11.27
0.514011,-0.238509,0.0381824,11.28
0.516015,-0.233846,0.0382023,11.29
0.517971,-0.229153,0.0382219,11.3
0.51988,-0.224432,0.0382412,11.31
0.521742,-0.219682,0.0382602,11.32
0.523556,-0.214904,0.038279,11.33
0.525323,-0.210098,0.0382975,11.34
0.527041,-0.205265,0.0383158,11.35
0.52871,-0.200405,0.0383337,11.36
0.530331,-0.195519,0.0383514,11.37
0.531903,-0.190607,0.0383687,11.38
0.533425,-0.185669,0.0383858,11.39
0.534898,-0.180706,0.0384026,11.4
0.536321,-0.175718,0.038419,11.41
0.537694,-0.170706,0.0384352,11.42
0.539016,-0.165671,0.038451,11.43
0.540289,-0.160612,0.0384666,11.44
0.54151,-0.15553,0.0384818,11.45
0.542681,-0.150426,0.0384967,11.46
0.5438,-0.1453,0.0385113,11.47
0.544868,-0.140153,0.0385256,11.48
0.545884,-0.134985,0.0385396,11.49
0.546849,-0.129796,0.0385532,11.5
0.547761,-0.124587,0.0385665,11.51
0.548621,-0.119358,0.0385795,11.52
0.549429,-0.114111,0.0385921,11.53
0.550184,-0.108845,0.0386044,11.54
0.550887,-0.103561,0.0386163,11.55
0.551536,-0.098259,0.0386279,11.56
0.552132,-0.0929402,0.0386392,11.57
0.552675,-0.0876048,0.0386501,11.58
0.553165,-0.0822532,0.0386606,11.59
0.553601,-0.0768861,0.0386708,11.6
0.553983,-0.0715038,0.0386807,11.61
0.554311,-0.066107,0.0386902,11.62
0.554585,-0.0606961,0.0386993,11.63
0.554805,-0.0552717,0.0387081,11.64
0.554971,-0.0498341,0.0387164,11.65
0.555082,-0.0443841,0.0387245,11.66
0.555139,-0.038922,0.0387321,11.67
0.555141,-0.0334485,0.0387394,11.68
0.555088,-0.027964,0.0387463,11.69
0.55498,-0.022469,0.0387529,11.7
0.554817,-0.0169642,0.038759,11.71
0.554599,-0.0114499,0.0387648,11.72
0.554326,-0.00592685,0.0387702,11.73
0.553997,-0.000395448,0.0387752,11.74
0.553614,0.00514374,0.0387798,11.75
0.553174,0.0106902,0.0387841,11.76
0.55268,0.0162433,0.0387879,11.77
0.552129,0.0218026,0.0387914,11.78
0.551523,0.0273675,0.0387945,11.79
0.550862,0.0329374,0.0387971,11.8
0.550144,0.0385119,0.0387994,11.81
0.549371,0.0440904,0.0388013,11.82
0.548542,0.0496723,0.0388028,11.83
0.547658,0.0552571,0.0388039,11.84
0.546717,0.0608442,0.0388046,11.85
0.545721,0.066433,0.0388049,11.86
0.544668,0.0720231,0.0388048,11.87
0.54356,0.0776138,0.0388042,11.88
0.542396,0.0832046,0.0388033,11.89
0.541176,0.088795,0.038802,11.9
0.5399,0.0943844,0.0388003,11.91
0.538568,0.0999721,0.0387981,11.92
0.53718,0.105558,0.0387956,11.93
0.535737,0.111141,0.0387927,11.94
0.534237,0.11672,0.0387893,11.95
0.532682,0.122296,0.0387855,11.96
0.531071,0.127868,0.0387814,11.97
0.529405,0.133434,0.0387768,11.98
0.527683,0.138995,0.0387718,11.99
0.525905,0.14455,0.0387664,12
0.524072,0.150098,0.0387606,12.01
0.522183,0.155639,0.0387544,12.02
0.520239,0.161172,0.0387477,12.03
0.51824,0.166697,0.0387407,12.04
0.516186,0.172212,0.0387332,12.05
0.514076,0.177719,0.0387254,12.06
0.511912,0.183215,0.0387171,12.07
0.509693,0.1887,0.0387084,12.08
0.507419,0.194175,0.0386994,12.09
0.50509,0.199637,0.0386899,12.1
0.502707,0.205088,0.03868,12.11
0.500269,0.210525,0.0386696,12.12
0.497777,0.215948,0.0386589,12.13
0.495231,0.221358,0.0386478,12.14
0.492631,0.226753,0.0386363,12.15
0.489977,0.232133,0.0386243,12.16
0.487269,0.237497,0.038612,12.17
0.484508,0.242845,0.0385993,12.18
0.481694,0.248175,0.0385861,12.19
0.478826,0.253489,0.0385726,12.2
0.475906,0.258784,0.0385586,12.21
0.472932,0.264061,0.0385443,12.22
0.469906,0.269318,0.0385296,12.23
0.466828,0.274556,0.0385144,12.24
0.463697,0.279773,0.0384989,12.25
0.460514,0.28497,0.038483,12.26
0.45728,0.290145,0.0384667,12.27
0.453994,0.295298,0.03845,12.28
0.450656,0.300428,0.0384329,12.29
0.447267,0.305536,0.0384154,12.3
0.443828,0.31062,0.0383976,12.31
0.440338,0.315679,0.0383793,12.32
0.436797,0.320714,0.0383607,12.33
0.433206,0.325723,0.0383417,12.34
0.429566,0.330707,0.0383223,12.35
0.425876,0.335664,0.0383026,12.36
0.422136,0.340594,0.0382824,12.37
0.418347,0.345496,0.0382619,12.38
0.41451,0.350371,0.0382411,12.39
0.410623,0.355217,0.0382198,12.4
0.406689,0.360033,0.0381983,12.41
0.402707,0.36482,0.0381763,12.42
0.398677,0.369577,0.038154,12.43
0.394599,0.374303,0.0381313,12.44
0.390475,0.378998,0.0381083,12.45
0.386304,0.38366,0.0380849,12.46
0.382087,0.388291,0.0380612,12.47
0.377823,0.392888,0.0380372,12.48
0.373514,0.397452,0.0380128,12.49
0.369159,0.401982,0.037988,12.5
0.364759,0.406478,0.0379629,12.51
0.360315,0.410938,0.0379375,12.52
0.355826,0.415363,0.0379118,12.53
0.351294,0.419752,0.0378857,12.54
0.346717,0.424105,0.0378593,12.55
0.342098,0.42842,0.0378326,12.56
0.337435,0.432698,0.0378056,12.57
0.33273,0.436938,0.0377782,12.58
0.327983,0.441139,0.0377505,12.59
0.323194,0.445301,0.0377226,12.6
0.318364,0.449424,0.0376943,12.61
0.313493,0.453506,0.0376657,12.62
0.308581,0.457548,0.0376369,12.63
0.303629,0.461549,0.0376077,12.64
0.298637,0.465508,0.0375783,12.65
0.293607,0.469426,0.0375485,12.66
0.288537,0.473301,0.0375185,12.67
0.283429,0.477132,0.0374882,12.68
0.278282,0.480921,0.0374576,12.69
0.273099,0.484666,0.0374268,12.7
0.267878,0.488366,0.0373957,12.71
0.26262,0.492022,0.0373643,12.72
0.257326,0.495632,0.0373326,12.73
0.251997,0.499196,0.0373008,12.74
0.246632,0.502715,0.0372686,12.75
0.241232,0.506186,0.0372362,12.76
0.235798,0.509611,0.0372036,12.77
0.230329,0.512988,0.0371707,12.78
0.224828,0.516318,0.0371376,12.79
0.219293,0.519598,0.0371042,12.8
0.213726,0.522831,0.0370707,12.81
0.208127,0.526014,0.0370369,12.82
0.202497,0.529147,0.0370028,12.83
0.196835,0.53223,0.0369686,12.84
0.191143,0.535263,0.0369342,12.85
0.185421,0.538245,0.0368995,12.86
0.17967,0.541176,0.0368647,12.87
0.173889,0.544055,0.0368296,12.88
0.168081,0.546882,0.0367944,12.89
0.162244,0.549656,0.0367589,12.9
0.15638,0.552378,0.0367233,12.91
0.150489,0.555046,0.0366875,12.92
0.144571,0.557661,0.0366515,12.93
0.138628,0.560222,0.0366154,12.94
0.13266,0.562729,0.0365791,12.95
0.126667,0.565181,0.0365426,12.96
0.120649,0.567578,0.0365059,12.97
0.114609,0.56992,0.0364692,12.98
0.108545,0.572206,0.0364322,12.99
0.102458,0.574436,0.0363951,13
0.09635,0.576609,0.0363579,13.01
0.0902203,0.578726,0.0363205,13.02
0.0840699,0.580786,0.036283,13.03
0.0778992,0.582788,0.0362454,13.04
0.0717089,0.584732,0.0362076,13.05
0.0654995,0.586619,0.0361698,13.06
0.0592716,0.588447,0.0361318,13.07
0.0530258,0.590217,0.0360937,13.08
0.0467627,0.591927,0.0360555,13.09
0.0404829,0.593579,0.0360172,13.1
0.0341869,0.595171,0.0359788,13.11
0.0278754,0.596703,0.0359403,13.12
0.021549,0.598175,0.0359017,13.13
